player_name,year,avg_points,pos_rank,total_points
Giovanni Ricci,2021,0.0,RB167,0.0
Senorise Perry,2021,0.0,RB0,0.0
Cairo Santos,2021,6.59,K20,112.0
Taylor Gabriel,2021,0.0,WR0,0.0
Cameron Brate,2021,3.97,TE28,63.5
Diontae Spencer,2021,-0.25,WR260,-3.8
Trevor Davis,2021,0.0,WR0,0.0
Sergio Castillo,2021,0.0,K0,0.0
Adam Vinatieri,2021,0.0,K0,0.0
Kerryon Johnson,2021,0.0,RB0,0.0
Will Hastings,2021,0.0,WR0,0.0
Tyler Higbee,2021,7.77,TE14,116.5
Kahale Warring,2021,0.0,TE119,0.0
Darius Slayton,2021,4.28,WR104,55.6
Trenton Cannon,2021,-0.16,RB183,-1.6
Taquan Mizzell,2021,0.0,RB0,0.0
James O'Shaughnessy,2021,5.49,TE52,38.4
Chester Rogers,2021,3.12,WR111,50.0
Bisi Johnson,2021,0.0,WR0,0.0
Davion Davis,2021,1.1,WR211,2.2
Alexander Mattison,2021,6.87,RB38,109.9
Omar Bayless,2021,0.0,WR0,0.0
John Bates,2021,3.72,TE50,40.9
James Williams,2021,0.0,RB0,0.0
Pharoh Cooper,2021,0.7,WR189,5.6
Elliott Fry,2021,8.0,K41,16.0
Tyler Bass,2021,8.18,K11,139.0
Troymaine Pope,2021,0.0,RB0,0.0
David Johnson,2021,5.02,RB63,65.3
Kyler Murray,2021,21.37,QB10,299.2
Antony Auclair,2021,2.2,TE78,13.2
MyCole Pruitt,2021,3.46,TE48,41.5
David Williams,2021,0.0,RB0,0.0
Jody Fortson,2021,4.8,TE66,19.2
Dare Ogunbowale,2021,3.35,RB80,43.6
Tyler Ervin,2021,0.0,RB0,0.0
Ja'Marcus Bradley,2021,1.68,WR175,8.4
Brandon Wright,2021,0.0,K0,0.0
Malik Taylor,2021,0.06,WR222,0.4
Penny Hart,2021,0.72,WR173,9.4
Easop Winston Jr.,2021,0.33,WR220,1.0
Mike Strachan,2021,1.8,WR202,3.6
Kevin Rader,2021,0.45,TE109,1.8
Ke'Shawn Vaughn,2021,5.77,RB89,34.6
Brandon Zylstra,2021,3.08,WR121,40.0
Rashard Davis,2021,0.0,WR0,0.0
Alec Ingold,2021,2.8,RB105,19.6
Rico Gafford,2021,0.0,WR0,0.0
Nathan Cottrell,2021,0.08,RB165,0.3
Daniel Jones,2021,15.1,QB27,166.1
Antonio Gibson,2021,13.01,RB10,208.1
Trevor Lawrence,2021,11.61,QB23,197.4
Mark Walton,2021,0.0,RB0,0.0
Lawrence Cager,2021,0.0,WR0,0.0
Jace Sternberger,2021,0.0,TE0,0.0
Steven Sims,2021,0.0,WR0,0.0
Hakeem Butler,2021,0.0,TE0,0.0
Evan McPherson,2021,9.31,K7,149.0
Kyle Pitts,2021,8.39,TE7,142.6
Olamide Zaccheaus,2021,4.95,WR78,74.3
Brandon Allen,2021,2.74,QB56,13.7
Brycen Hopkins,2021,0.47,TE111,1.4
Chad Williams,2021,0.0,WR0,0.0
Brandon Aiyuk,2021,8.37,WR36,142.3
Dan Arnold,2021,5.83,TE31,58.3
C.J. Uzomah,2021,6.49,TE19,103.8
Gary Brightwell,2021,0.21,RB155,1.5
Brandon Powell,2021,1.0,WR186,6.0
Will Grier,2021,0.0,QB0,0.0
Alex Armah,2021,0.97,RB125,8.7
Nick Boyle,2021,0.17,TE115,0.7
Chad Hansen,2021,0.0,WR0,0.0
David Moore,2021,0.0,WR224,0.0
Anthony Firkser,2021,4.14,TE29,62.1
Duke Williams,2021,0.0,WR0,0.0
Cam Sims,2021,3.44,WR120,41.3
Tarik Cohen,2021,0.0,RB0,0.0
Tom Brady,2021,21.97,QB3,373.5
Josh Malone,2021,0.0,WR0,0.0
Jalen Hurd,2021,0.0,WR0,0.0
Josh Reynolds,2021,6.61,WR88,66.1
Jawill Davis,2021,0.0,WR0,0.0
Jeff Driskel,2021,0.0,TE119,0.0
Kyle Allen,2021,3.85,QB63,7.7
Russell Gage,2021,10.0,WR39,130.0
Darrel Williams,2021,10.15,RB22,172.5
DJ Chark Jr.,2021,10.3,WR133,30.9
Jakob Johnson,2021,0.9,RB133,6.3
Jerome Cunningham,2021,0.0,TE0,0.0
Trey Quinn,2021,0.0,WR0,0.0
Leonard Fournette,2021,15.79,RB7,221.1
Ethan Wolf,2021,0.9,TE109,1.8
Daniel Helm,2021,0.08,TE118,0.4
Cody Hollister,2021,1.77,WR191,5.3
Younghoe Koo,2021,7.24,K18,123.0
Matt Breida,2021,4.9,RB85,39.2
Kyle Lauletta,2021,0.0,QB0,0.0
Anthony Johnson,2021,0.0,WR0,0.0
Rodney Anderson,2021,0.0,RB0,0.0
Robby Anderson,2021,6.59,WR50,112.0
Josh Allen,2021,23.59,QB1,401.1
Drew Brees,2021,0.0,QB0,0.0
Tutu Atwell,2021,0.0,WR224,0.0
Javian Hawkins,2021,0.0,RB0,0.0
Tommylee Lewis,2021,0.6,WR218,1.2
Simi Fehoko,2021,0.0,WR0,0.0
Rashod Bateman,2021,6.71,WR73,80.5
Cole Hikutini,2021,0.0,TE0,0.0
Gerald Everett,2021,6.25,TE20,93.8
Geronimo Allison,2021,0.0,WR224,0.0
Codey McElroy,2021,0.0,TE119,0.0
Malik Turner,2021,4.32,WR125,38.9
Justin Jefferson,2021,16.25,WR4,276.2
Anthony Miller,2021,3.83,WR167,11.5
Tanner Hudson,2021,0.0,TE0,0.0
Jake Elliott,2021,8.65,K8,147.0
Ian Bunting,2021,0.0,TE0,0.0
Marken Michel,2021,0.0,WR0,0.0
Rodney Smith,2021,7.3,RB129,7.3
Sammis Reyes,2021,0.0,TE119,0.0
Clayton Thorson,2021,0.0,QB0,0.0
Chris Godwin,2021,13.81,WR17,193.4
Mike Gesicki,2021,7.56,TE11,128.5
Brett Rypien,2021,0.0,QB75,0.0
Jason Cabinda,2021,1.32,RB120,11.9
Zach Wilson,2021,11.62,QB30,151.1
Justin Jackson,2021,5.37,RB58,75.2
Garrett Dickerson,2021,0.0,TE0,0.0
Trace McSorley,2021,0.0,QB0,0.0
David Blough,2021,0.6,QB71,0.6
Kerrith Whyte,2021,0.0,RB0,0.0
Pat Freiermuth,2021,7.61,TE13,121.7
Dyami Brown,2021,2.01,WR146,22.1
Javonte Williams,2021,10.79,RB17,183.4
Josh Rosen,2021,-1.13,QB83,-3.4
Darwin Thompson,2021,0.0,RB0,0.0
Mason Rudolph,2021,9.15,QB53,18.3
Tyreek Hill,2021,14.18,WR6,241.0
Mark Andrews,2021,14.56,TE1,247.6
Samaje Perine,2021,4.36,RB62,69.7
Joe Mixon,2021,16.68,RB3,266.9
Carson Meier,2021,0.0,TE0,0.0
Quez Watkins,2021,5.56,WR62,94.5
Jauan Jennings,2021,5.4,WR85,70.2
Dalvin Cook,2021,14.56,RB15,189.3
Josh McCown,2021,0.0,QB0,0.0
Alex Barnes,2021,0.0,RB0,0.0
Shaun Wilson,2021,0.0,RB0,0.0
Nate McCrary,2021,-0.1,RB182,-0.1
Paul Quessenberry,2021,0.0,TE0,0.0
Austin Proehl,2021,0.0,WR0,0.0
Elijhaa Penny,2021,2.24,RB92,31.4
Reggie Bonnafon,2021,1.3,RB150,2.6
Jaylen Samuels,2021,1.27,RB140,3.8
Wil Lutz,2021,0.0,K0,0.0
Ben Braunecker,2021,0.0,TE0,0.0
Josh Doctson,2021,0.0,WR0,0.0
Alex Bachman,2021,-0.1,WR257,-0.3
Tony Brooks-James,2021,0.0,RB0,0.0
Chris Carson,2021,11.28,RB78,45.1
Matt Ammendola,2021,4.09,K32,45.0
Myles Gaskin,2021,8.77,RB26,149.1
Matt LaCosse,2021,0.0,TE0,0.0
P.J. Walker,2021,2.7,QB57,13.5
Josh Ferguson,2021,0.0,RB0,0.0
Mike White,2021,10.97,QB44,43.9
Ezekiel Elliott,2021,13.44,RB6,228.4
Marcus Baugh,2021,0.0,TE0,0.0
Deonte Harris,2021,7.32,WR61,95.1
Brandon Dillon,2021,0.0,TE0,0.0
Boston Scott,2021,7.68,RB54,92.1
Dwayne Washington,2021,0.35,RB141,3.8
J.J. Jones,2021,0.0,WR0,0.0
Nick Keizer,2021,0.0,TE0,0.0
Jeff Heuerman,2021,0.0,TE0,0.0
Ameer Abdullah,2021,4.15,RB61,70.5
Melvin Gordon III,2021,11.32,RB18,181.1
Derek Watt,2021,0.22,RB146,3.1
Nick Vannett,2021,3.4,TE65,23.8
Devin Smith,2021,0.0,WR224,0.0
Raheem Mostert,2021,2.0,RB153,2.0
Adam Humphries,2021,3.46,WR100,58.8
Jalen Tolliver,2021,0.0,WR0,0.0
Austin Seibert,2021,6.67,K35,40.0
Darvin Kidsy,2021,0.0,WR0,0.0
Detrez Newsome,2021,0.0,RB0,0.0
Jaret Patterson,2021,3.64,RB73,50.9
Dalton Schultz,2021,9.99,TE3,169.8
Christian McCaffrey,2021,15.57,RB39,109.0
Chris Moore,2021,4.52,WR116,45.2
Michael Bandy,2021,0.0,WR224,0.0
Brevin Jordan,2021,5.09,TE44,45.8
DeVante Parker,2021,8.35,WR69,83.5
Trevor Siemian,2021,14.9,QB34,89.4
Marquez Valdes-Scantling,2021,6.73,WR79,74.0
Matt Bryant,2021,0.0,K0,0.0
Shane Zylstra,2021,2.45,TE95,4.9
Jack Stoll,2021,0.7,TE101,4.2
Terrace Marshall Jr.,2021,2.02,WR142,24.3
Ja'Marr Chase,2021,15.54,WR5,264.1
Ricky Seals-Jones,2021,4.92,TE33,54.1
Ross Travis,2021,0.0,TE0,0.0
La'Mical Perine,2021,1.55,RB146,3.1
Feleipe Franks,2021,-0.35,QB81,-1.4
Jordan Wilkins,2021,0.0,RB167,0.0
Freddie Swain,2021,4.35,WR79,74.0
