player_name,year,ppg,pos_rank,total_points,pos
Bryan Edwards,2020,2.57,154,30.8,WR
Alex Smith,2020,8.95,39,71.58,QB
Parris Campbell,2020,5.85,164,11.7,WR
Noah Brown,2020,1.43,141,22.8,WR
Jesper Horsted,2020,0.0,0,0.0,TE
Aaron Rodgers,2020,23.92,4,382.76,QB
Mike Nugent,2020,7.25,35,29.0,K
Frank Gore,2020,6.15,44,92.2,RB
Michael Burton,2020,0.44,129,6.6,RB
Curtis Samuel,2020,11.57,27,173.6,WR
Terry McLaurin,2020,12.02,19,180.3,WR
Justin Herbert,2020,22.19,10,332.84,QB
Dillon Mitchell,2020,0.0,0,0.0,WR
Harrison Butker,2020,8.25,9,132.0,K
Devin Duvernay,2020,2.69,116,43.1,WR
Collin Johnson,2020,3.59,103,50.2,WR
Darren Sproles,2020,0.0,0,0.0,RB
Drew Lock,2020,13.95,26,181.32,QB
Emanuel Hall,2020,0.0,0,0.0,WR
Sam Sloman,2020,6.5,32,52.0,K
Roc Thomas,2020,0.0,0,0.0,RB
Derek Anderson,2020,0.0,0,0.0,QB
Matt Cassel,2020,0.0,0,0.0,QB
Hayden Hurst,2020,7.57,14,121.1,TE
Lil'Jordan Humphrey,2020,4.03,168,12.1,WR
Ryan Switzer,2020,0.0,0,0.0,WR
Ryan Fitzpatrick,2020,17.03,27,153.24,QB
T.J. Logan,2020,0.0,0,0.0,RB
Jeremy Langford,2020,0.0,0,0.0,RB
Mitchell Trubisky,2020,15.37,28,153.7,QB
James Looney,2020,0.0,0,0.0,TE
Andy Janovich,2020,0.19,140,2.7,RB
Austin Carr,2020,1.7,199,10.2,WR
Jonathan Ward,2020,0.54,163,7.6,RB
Trevon Wesco,2020,0.08,110,1.0,TE
Darrell Henderson Jr.,2020,8.15,33,122.3,RB
Danny Vitale,2020,0.0,0,0.0,RB
Ishmael Hyman,2020,0.0,0,0.0,WR
J.J. Nelson,2020,0.0,0,0.0,WR
Reggie Begelton,2020,0.0,214,0.0,WR
Greg Ward,2020,6.66,55,106.6,WR
Malcolm Perry,2020,2.24,165,20.2,WR
Ray-Ray McCloud,2020,1.39,145,22.2,WR
Rico Gathers,2020,0.0,0,0.0,TE
Deon Cain,2020,0.0,214,0.0,WR
Derrick Willies,2020,0.0,214,0.0,WR
Reggie Gilliam,2020,0.61,124,8.6,RB
Victor Bolden Jr.,2020,0.0,0,0.0,WR
Kendall Blanton,2020,0.0,0,0.0,TE
J.J. Taylor,2020,1.98,116,11.9,RB
Da'Mari Scott,2020,0.0,0,0.0,WR
George Kittle,2020,12.64,20,101.1,TE
Akrum Wadley,2020,0.0,0,0.0,RB
Trent Sherfield,2020,0.5,210,7.5,WR
DeAndrew White,2020,0.0,0,0.0,WR
Chris Streveler,2020,1.54,73,7.7,QB
Khari Blasingame,2020,0.39,131,5.9,RB
Corey Grant,2020,0.0,0,0.0,RB
Cullen Gillaspia,2020,0.16,155,1.1,RB
Kenny Golladay,2020,11.16,100,55.8,WR
Robbie Gould,2020,6.8,23,102.0,K
Chris Myarick,2020,0.0,112,0.0,TE
Ventell Bryant,2020,0.0,0,0.0,WR
Chandler Cox,2020,0.24,146,1.9,RB
Johnny Stanton,2020,0.0,163,0.0,RB
Johnny Holton,2020,0.0,214,0.0,WR
Vyncint Smith,2020,0.26,206,1.8,WR
Chris Lacy,2020,0.0,0,0.0,WR
Cethan Carter,2020,0.52,134,7.8,RB
Trent Taylor,2020,1.13,161,13.6,WR
James Washington,2020,5.26,70,84.2,WR
Calvin Ridley,2020,15.77,4,236.5,WR
Hale Hentges,2020,0.0,0,0.0,TE
Damien Harris,2020,8.88,48,88.8,RB
Vernon Davis,2020,0.0,0,0.0,TE
Malcolm Johnson,2020,0.0,0,0.0,RB
Marcedes Lewis,2020,2.25,51,33.7,TE
Royce Freeman,2020,1.94,87,31.1,RB
Stephen Gostkowski,2020,7.4,18,111.0,K
Brandon Marshall,2020,0.0,0,0.0,WR
Mike Boone,2020,0.87,118,13.9,RB
Mack Hollins,2020,1.85,127,29.6,WR
Delanie Walker,2020,0.0,0,0.0,TE
Jarrett Stidham,2020,2.59,53,12.94,QB
Jazz Ferguson,2020,0.0,0,0.0,WR
Buddy Howell,2020,0.51,126,7.2,RB
Jonathan Hilliman,2020,0.0,0,0.0,RB
Sam Ficken,2020,5.78,31,52.0,K
Tommy Sweeney,2020,0.0,0,0.0,TE
Patrick Ricard,2020,0.86,1,12.9,DT
Devontae Booker,2020,4.83,53,77.2,RB
Blake Jarwin,2020,1.7,100,1.7,TE
Derrius Guice,2020,0.0,0,0.0,RB
Deshaun Watson,2020,23.08,5,369.32,QB
Artavis Scott,2020,0.0,0,0.0,WR
Dede Westbrook,2020,-0.55,248,-1.1,WR
Richie James,2020,4.81,110,52.9,WR
Ryan Izzo,2020,2.03,62,24.4,TE
Tanner Lee,2020,0.0,0,0.0,QB
Jeff Wilson Jr.,2020,11.32,36,135.8,RB
Michael Badgley,2020,6.94,21,111.0,K
David Njoku,2020,3.29,46,42.8,TE
Braxton Berrios,2020,4.93,83,78.8,WR
Tyler Kroft,2020,3.59,50,35.9,TE
Tyre Brady,2020,0.0,0,0.0,WR
Cameron Batson,2020,2.0,136,24.0,WR
Taylor Heinicke,2020,11.68,55,11.68,QB
Foster Moreau,2020,1.84,58,29.5,TE
Chris Herndon,2020,3.64,42,58.2,TE
Robert Tonyan,2020,9.41,3,150.6,TE
Darius Bradwell,2020,0.0,163,0.0,RB
Antonio Williams,2020,20.8,0,20.8,RB
Travis Fulgham,2020,7.45,64,96.9,WR
Austin Mack,2020,1.15,165,12.6,WR
Dwayne Haskins Jr.,2020,9.74,37,68.16,QB
Patrick Mahomes,2020,24.96,3,374.4,QB
Jake Rudock,2020,0.0,0,0.0,QB
Quinton Flowers,2020,0.0,0,0.0,RB
Darnell Mooney,2020,7.6,52,121.6,WR
Harrison Bryant,2020,3.32,39,49.8,TE
Devin Singletary,2020,7.79,32,124.6,RB
Marlon Mack,2020,7.1,128,7.1,RB
Sean Mannion,2020,0.0,0,0.0,QB
D'Ernest Johnson,2020,1.22,96,19.5,RB
Raymond Calais,2020,0.0,163,0.0,RB
Jalen Hurts,2020,7.26,36,108.94,QB
Eric Saubert,2020,0.39,100,3.1,TE
Jaleel Scott,2020,2.1,203,2.1,WR
Jason Huntley,2020,0.48,152,2.4,RB
Jason Vander Laan,2020,0.0,0,0.0,TE
Adrian Peterson,2020,7.41,40,118.5,RB
Ted Ginn Jr.,2020,0.92,181,5.5,WR
Marshawn Lynch,2020,0.0,0,0.0,RB
Greg Olsen,2020,3.81,45,41.9,TE
Drew Stanton,2020,0.0,0,0.0,QB
DaeSean Hamilton,2020,3.17,106,50.8,WR
Irv Smith Jr.,2020,6.42,21,83.5,TE
Rashaad Penny,2020,1.13,150,3.4,RB
Nick Folk,2020,7.56,16,121.0,K
Mason Crosby,2020,7.5,17,120.0,K
Seth DeValve,2020,0.0,112,0.0,TE
Stefon Diggs,2020,16.57,3,265.1,WR
Michael Thomas,2020,9.13,94,63.9,WR
Gabe Holmes,2020,0.0,0,0.0,TE
Mike Davis,2020,11.8,12,177.0,RB
Kristian Wilkerson,2020,0.0,214,0.0,WR
Greg Joseph,2020,0.0,0,0.0,K
Austin Walter,2020,0.88,136,3.5,RB
Amari Cooper,2020,11.93,15,190.8,WR
Taysom Hill,2020,9.54,29,152.62,QB
T.J. Yeldon,2020,5.23,106,15.7,RB
Ito Smith,2020,3.49,74,48.8,RB
Qadree Ollison,2020,0.1,162,0.3,RB
Mike Thomas,2020,1.7,137,23.8,WR
Joey Slye,2020,7.62,14,122.0,K
Cam Phillips,2020,0.0,0,0.0,WR
John Wolford,2020,12.84,0,12.84,QB
Matt Prater,2020,6.88,22,110.0,K
Sterling Shepard,2020,10.79,59,129.5,WR
Matt Moore,2020,0.0,0,0.0,QB
Isaiah Ford,2020,4.16,120,41.6,WR
Joshua Kelley,2020,4.98,58,69.7,RB
Matt Ryan,2020,17.65,13,282.44,QB
Jonathan Stewart,2020,0.0,0,0.0,RB
Joe Flacco,2020,10.95,40,54.76,QB
Jordy Nelson,2020,0.0,0,0.0,WR
Hakeem Valles,2020,0.0,0,0.0,TE
DeSean Jackson,2020,7.56,117,37.8,WR
Chad Henne,2020,7.91,60,23.72,QB
Robert Davis,2020,0.0,0,0.0,WR
Jamaal Charles,2020,0.0,0,0.0,RB
Shelton Gibson,2020,0.0,0,0.0,WR
Kevin White,2020,0.0,214,0.0,WR
Wendell Smallwood,2020,0.0,163,0.0,RB
Matthew Slater,2020,0.0,214,0.0,WR
Josh Johnson,2020,0.0,0,0.0,QB
Elijah McGuire,2020,0.0,0,0.0,RB
Pierre Garcon,2020,0.0,0,0.0,WR
Aaron Jones,2020,16.81,5,235.4,RB
KeeSean Johnson,2020,3.1,142,24.8,WR
Adrian Killins Jr.,2020,-0.5,180,-0.5,RB
Danny Amendola,2020,5.96,72,83.4,WR
Jason Sanders,2020,10.56,1,169.0,K
Logan Woodside,2020,0.21,69,1.28,QB
Cooper Kupp,2020,10.85,24,162.7,WR
Corey Davis,2020,11.35,32,158.9,WR
Ryan Finley,2020,3.83,49,19.16,QB
Tyron Johnson,2020,5.79,91,69.5,WR
Isaac Whitney,2020,0.0,0,0.0,WR
Rashard Higgins,2020,7.88,62,102.4,WR
Stephen Hauschka,2020,0.0,44,0.0,K
Mike Warren,2020,0.0,163,0.0,RB
Justin Hardy,2020,0.0,0,0.0,WR
Jake Luton,2020,9.42,46,28.26,QB
O.J. Howard,2020,8.03,52,32.1,TE
Derrick Henry,2020,20.23,3,323.6,RB
Marcus Green,2020,0.0,0,0.0,WR
Demarcus Robinson,2020,5.32,77,85.1,WR
Devin Funchess,2020,0.0,0,0.0,WR
Cameron Artis-Payne,2020,0.0,0,0.0,RB
Andrew Beck,2020,0.0,112,0.0,TE
Todd Gurley II,2020,10.05,22,150.7,RB
Chad Kelly,2020,0.0,0,0.0,QB
D'Onta Foreman,2020,2.75,103,16.5,RB
Jehu Chesson,2020,0.0,0,0.0,WR
Amara Darboh,2020,0.0,0,0.0,WR
Steven Mitchell Jr.,2020,1.42,178,8.5,WR
Justin Davis,2020,0.0,0,0.0,RB
Zane Gonzalez,2020,7.67,27,92.0,K
Nick Bawden,2020,0.0,0,0.0,RB
Alex Erickson,2020,1.04,159,16.6,WR
Zay Jones,2020,1.85,132,29.56,WR
Austin Hooper,2020,6.96,22,90.5,TE
Daniel Brown,2020,0.26,98,4.1,TE
Deon Yelder,2020,0.51,90,7.1,TE
Taywan Taylor,2020,0.0,214,0.0,WR
Artavis Pierce,2020,1.88,122,9.4,RB
Paxton Lynch,2020,0.0,0,0.0,QB
Mose Frazier,2020,0.0,0,0.0,WR
Adam Trautman,2020,2.04,56,30.6,TE
Graham Gano,2020,8.25,12,132.0,K
Chase Daniel,2020,3.04,54,12.16,QB
Brian Hoyer,2020,2.0,65,2.0,QB
Mark Sanchez,2020,0.0,0,0.0,QB
Matthew Stafford,2020,16.29,16,260.56,QB
Jacob Hollister,2020,3.34,36,53.4,TE
Brian Hill,2020,5.18,60,82.9,RB
LeSean McCoy,2020,2.07,93,20.7,RB
Rodney Adams,2020,0.0,0,0.0,WR
Jared Cook,2020,7.26,18,108.9,TE
Kareem Hunt,2020,12.47,8,199.5,RB
Michael Roberts,2020,0.0,0,0.0,TE
John Phillips,2020,0.0,0,0.0,TE
Jordan Howard,2020,4.31,86,30.2,RB
Michael Crabtree,2020,0.0,0,0.0,WR
Darrius Heyward-Bey,2020,0.0,0,0.0,WR
Brandon LaFell,2020,0.0,0,0.0,WR
Zach Pascal,2020,7.18,50,114.9,WR
Nick Mullens,2020,11.63,34,116.28,QB
Mike Wallace,2020,0.0,0,0.0,WR
Julian Edelman,2020,7.62,109,45.72,WR
D.J. Foster,2020,0.14,152,1.4,RB
Ricky Ortiz,2020,0.0,0,0.0,RB
Donald Parham Jr.,2020,2.99,59,38.9,TE
Ryan Succop,2020,8.88,10,142.0,K
Antoine Wesley,2020,0.0,0,0.0,WR
De'Lance Turner,2020,0.0,0,0.0,RB
Jaydon Mickens,2020,0.93,169,9.3,WR
Quadree Henderson,2020,0.0,0,0.0,WR
Ben DiNucci,2020,2.32,61,6.96,QB
Damion Ratley,2020,1.66,175,8.3,WR
Christian Kirk,2020,8.74,44,122.4,WR
Jake Bargas,2020,0.0,163,0.0,RB
Tee Higgins,2020,10.07,26,161.1,WR
AJ Dillon,2020,3.57,79,39.3,RB
Christian Blake,2020,1.29,147,20.6,WR
Cam Akers,2020,7.41,49,96.3,RB
Spencer Schnell,2020,0.0,0,0.0,WR
Ronald Jones II,2020,12.31,17,172.3,RB
Sam Darnold,2020,11.17,32,134.02,QB
JaMycal Hasty,2020,3.45,89,27.6,RB
Sam Bradford,2020,0.0,0,0.0,QB
Colt McCoy,2020,4.55,50,18.2,QB
LeGarrette Blount,2020,0.0,0,0.0,RB
Dez Bryant,2020,3.28,151,19.7,WR
Demaryius Thomas,2020,0.0,0,0.0,WR
Golden Tate,2020,5.75,86,69.02,WR
Andre Roberts,2020,0.07,211,1.1,WR
Jermaine Gresham,2020,0.0,0,0.0,TE
Rob Gronkowski,2020,7.93,8,126.8,TE
Jimmy Graham,2020,7.41,10,118.6,TE
KJ Hamler,2020,5.78,79,75.1,WR
Charles Jones,2020,0.0,0,0.0,TE
Ed Dickson,2020,0.0,0,0.0,TE
Matt Lengel,2020,0.0,0,0.0,TE
Emmanuel Sanders,2020,9.59,47,134.3,WR
Dontrell Hilliard,2020,0.79,132,5.5,RB
Jeff Smith,2020,2.1,133,25.2,WR
Corey Coleman,2020,0.0,0,0.0,WR
Bo Scarbrough,2020,3.1,138,3.1,RB
Wes Hills,2020,0.0,0,0.0,RB
Stanley Morgan,2020,0.0,214,0.0,WR
Joe Webb III,2020,0.0,214,0.0,WR
Jeff Thomas,2020,0.0,0,0.0,WR
DeeJay Dallas,2020,4.03,70,48.4,RB
Deebo Samuel,2020,9.17,93,64.2,WR
Devine Ozigbo,2020,1.1,123,8.8,RB
Chris Ivory,2020,0.0,0,0.0,RB
Joshua Dobbs,2020,2.08,0,2.08,QB
Christian Wade,2020,0.0,0,0.0,RB
Jake Fromm,2020,0.0,0,0.0,QB
Isaiah Wright,2020,2.34,124,32.8,WR
Dalton Keene,2020,0.52,96,3.1,TE
Logan Paulsen,2020,0.0,0,0.0,TE
Juwan Johnson,2020,0.84,185,5.9,WR
Dan Chisena,2020,0.0,214,0.0,WR
Saquon Barkley,2020,6.2,113,12.4,RB
Cameron Meredith,2020,0.0,0,0.0,WR
Antonio Brown,2020,11.82,96,94.6,WR
James Develin,2020,0.0,0,0.0,RB
Justin Rohrwasser,2020,0.0,0,0.0,K
Nate Sudfeld,2020,-1.52,0,-1.52,QB
Mark Ingram II,2020,4.54,75,49.9,RB
Julio Jones,2020,13.4,45,120.6,WR
A.J. Green,2020,5.49,67,87.8,WR
Nick Westbrook-Ikhine,2020,0.34,186,4.8,WR
Blaine Gabbert,2020,3.83,51,15.32,QB
C.J. Beathard,2020,8.71,44,52.28,QB
Cam Newton,2020,17.33,20,259.98,QB
Kaden Smith,2020,1.35,71,20.2,TE
Colin Kaepernick,2020,0.0,0,0.0,QB
Tevin Coleman,2020,1.34,120,10.7,RB
Lance Kendricks,2020,0.0,0,0.0,TE
Andy Dalton,2020,12.4,31,136.36,QB
Stevan Ridley,2020,0.0,0,0.0,RB
Torrey Smith,2020,0.0,0,0.0,WR
Chris Warren,2020,0.0,0,0.0,RB
Wayne Gallman,2020,8.41,34,126.1,RB
Jesse James,2020,1.99,53,31.9,TE
Randall Cobb,2020,8.11,74,81.1,WR
Kyle Rudolph,2020,4.28,37,51.4,TE
Jordan Leggett,2020,0.0,0,0.0,TE
Tom Kennedy,2020,0.0,0,0.0,WR
Bruce Miller,2020,0.09,159,0.7,RB
Virgil Green,2020,2.08,76,12.5,TE
Zach Gentry,2020,0.0,112,0.0,TE
Karan Higdon,2020,0.0,0,0.0,RB
Luke Stocker,2020,0.61,80,9.8,TE
Tim Boyle,2020,-0.11,78,-0.9,QB
Dwayne Harris,2020,-0.67,249,-2.0,WR
Jester Weah,2020,0.0,0,0.0,WR
Tyler Boyd,2020,10.21,33,153.14,WR
Bilal Powell,2020,0.0,0,0.0,RB
Mike Williams,2020,8.65,49,129.7,WR
Anthony Sherman,2020,0.6,127,7.8,RB
Devlin Hodges,2020,0.0,0,0.0,QB
Charles Clay,2020,0.0,0,0.0,TE
Jeremy Kerley,2020,0.0,0,0.0,WR
James Conner,2020,11.32,25,147.1,RB
Niles Paul,2020,0.0,0,0.0,TE
Tyrod Taylor,2020,4.51,59,9.02,QB
Aldrick Robinson,2020,0.0,0,0.0,WR
Taiwan Jones,2020,0.0,163,0.0,RB
Jamal Agnew,2020,1.62,135,22.7,WR
Jacquizz Rodgers,2020,0.0,0,0.0,RB
Dion Lewis,2020,2.98,72,47.7,RB
Jake Butt,2020,0.3,105,1.5,TE
Craig Reynolds,2020,0.6,154,1.2,RB
Lee Smith,2020,1.75,72,17.5,TE
Doug Baldwin,2020,0.0,0,0.0,WR
Patrick Laird,2020,1.06,100,17.0,RB
Marquise Brown,2020,9.62,37,154.0,WR
CeeDee Lamb,2020,11.29,16,180.7,WR
Troy Fumagalli,2020,2.25,78,18.0,TE
Corey Clement,2020,1.23,99,18.5,RB
Dontrelle Inman,2020,3.73,119,37.3,WR
Dante Pettis,2020,1.94,202,13.6,WR
Kenyan Drake,2020,11.98,14,179.7,RB
Bobo Wilson,2020,0.0,0,0.0,WR
Farrod Green,2020,0.0,112,0.0,TE
Will Dissly,2020,3.07,41,49.1,TE
Dawson Knox,2020,4.57,38,54.8,TE
Dan Bailey,2020,5.19,28,83.0,K
Patrick DiMarco,2020,0.0,0,0.0,RB
Van Jefferson,2020,2.34,128,37.4,WR
Zach Zenner,2020,0.0,0,0.0,RB
Tristan Vizcaino,2020,12.0,0,12.0,K
Drew Sample,2020,3.68,33,58.9,TE
Ryan Nall,2020,1.04,101,16.7,RB
Chris Hogan,2020,3.76,153,18.8,WR
Andre Holmes,2020,0.0,0,0.0,WR
Tevin Jones,2020,0.0,0,0.0,WR
Alan Cross,2020,0.0,0,0.0,TE
Jerry Jeudy,2020,8.23,51,131.6,WR
Henry Ruggs III,2020,5.47,88,71.1,WR
Nick Bellore,2020,0.12,146,1.9,RB
Kendall Hinton,2020,-2.78,79,-2.78,QB
Tua Tagovailoa,2020,13.55,33,135.46,QB
Noah Togiai,2020,0.0,112,0.0,TE
Kendrick Bourne,2020,7.01,63,105.2,WR
Jonathan Williams,2020,0.52,141,2.6,RB
Kamar Aiken,2020,0.0,0,0.0,WR
Jeremy Sprinkle,2020,0.07,108,1.1,TE
Keon Hatcher,2020,0.0,0,0.0,WR
C.J. Prosise,2020,1.02,121,10.2,RB
Colin Thompson,2020,0.48,85,7.2,TE
Jeremy McNichols,2020,2.37,81,37.9,RB
Jalen Reagor,2020,6.52,84,71.7,WR
Khari Lee,2020,0.0,0,0.0,TE
Miles Sanders,2020,13.03,19,156.4,RB
Damion Willis,2020,0.0,0,0.0,WR
Darius Jackson,2020,0.0,0,0.0,RB
Falcons D/ST,2020,2.38,23,38.0,D/ST
Bills D/ST,2020,6.0,15,96.0,D/ST
Bears D/ST,2020,5.12,13,82.0,D/ST
Bengals D/ST,2020,1.12,28,18.0,D/ST
Browns D/ST,2020,5.12,15,82.0,D/ST
Cowboys D/ST,2020,2.94,24,47.0,D/ST
Broncos D/ST,2020,3.69,22,59.0,D/ST
Lions D/ST,2020,-0.31,32,-5.0,D/ST
Packers D/ST,2020,5.69,10,91.0,D/ST
Titans D/ST,2020,2.0,26,32.0,D/ST
Colts D/ST,2020,8.81,3,141.0,D/ST
Chiefs D/ST,2020,5.38,9,86.0,D/ST
Raiders D/ST,2020,0.56,31,9.0,D/ST
Rams D/ST,2020,9.94,2,159.0,D/ST
Dolphins D/ST,2020,6.56,6,105.0,D/ST
Vikings D/ST,2020,1.69,27,27.0,D/ST
Patriots D/ST,2020,5.62,12,90.0,D/ST
Saints D/ST,2020,7.62,8,122.0,D/ST
Giants D/ST,2020,5.44,17,87.0,D/ST
Jets D/ST,2020,2.31,25,37.0,D/ST
Eagles D/ST,2020,5.25,19,84.0,D/ST
Cardinals D/ST,2020,5.69,13,91.0,D/ST
Steelers D/ST,2020,9.19,1,147.0,D/ST
Chargers D/ST,2020,4.5,21,72.0,D/ST
49ers D/ST,2020,5.5,11,88.0,D/ST
Seahawks D/ST,2020,4.69,20,75.0,D/ST
Buccaneers D/ST,2020,6.94,7,111.0,D/ST
Washington D/ST,2020,7.94,4,127.0,D/ST
Panthers D/ST,2020,5.0,17,80.0,D/ST
Josiah Deguara,2020,0.85,100,1.7,TE
Jaguars D/ST,2020,0.75,29,12.0,D/ST
Ravens D/ST,2020,7.81,5,125.0,D/ST
Texans D/ST,2020,0.56,30,9.0,D/ST
Alonzo Russell,2020,0.0,0,0.0,WR
Donovan Peoples-Jones,2020,4.28,104,51.4,WR
Tyler Davis,2020,0.0,112,0.0,TE
Ian Thomas,2020,1.91,55,30.5,TE
Kai Forbath,2020,4.5,39,9.0,K
Terrelle Pryor Sr.,2020,0.0,0,0.0,WR
Andrew Luck,2020,0.0,0,0.0,QB
Robert Griffin III,2020,0.65,62,2.58,QB
Ryan Tannehill,2020,21.49,7,343.86,QB
Nick Foles,2020,11.58,35,104.18,QB
Brandon Weeden,2020,0.0,0,0.0,QB
Brock Osweiler,2020,0.0,0,0.0,QB
Kirk Cousins,2020,19.14,11,306.2,QB
Russell Wilson,2020,22.49,6,359.78,QB
Doug Martin,2020,0.0,0,0.0,RB
Lamar Miller,2020,1.6,149,1.6,RB
Cody Core,2020,0.0,0,0.0,WR
Robert Turbin,2020,0.0,0,0.0,RB
Dwayne Allen,2020,0.0,0,0.0,TE
Orson Charles,2020,0.0,0,0.0,TE
Michael Floyd,2020,0.0,0,0.0,WR
Alshon Jeffery,2020,2.93,149,20.5,WR
Brian Quick,2020,0.0,0,0.0,WR
Jarius Wright,2020,0.0,0,0.0,WR
C.J. Ham,2020,1.43,104,21.5,RB
Mohamed Sanu Sr.,2020,3.55,123,35.5,WR
T.Y. Hilton,2020,9.08,43,136.2,WR
Javon Leake,2020,0.0,163,0.0,RB
Anthony McFarland Jr.,2020,1.79,97,19.7,RB
Gehrig Dieter,2020,0.38,214,1.5,WR
Andy Isabella,2020,3.41,112,44.3,WR
J.K. Dobbins,2020,10.63,28,159.5,RB
Jamaal Williams,2020,7.97,38,111.6,RB
Greg Zuerlein,2020,9.12,8,146.0,K
Rhett Ellison,2020,0.0,0,0.0,TE
Alfred Morris,2020,4.36,80,39.2,RB
Scotty Miller,2020,5.38,69,86.0,WR
James Morgan,2020,0.0,0,0.0,QB
Ashton Dulin,2020,0.61,177,7.9,WR
Travis Benjamin,2020,0.0,0,0.0,WR
Marvin Jones Jr.,2020,11.86,29,189.8,WR
Randy Bullock,2020,7.92,26,95.0,K
Rishard Matthews,2020,0.0,0,0.0,WR
Malcolm Brown,2020,6.1,42,97.6,RB
Jeremy Cox,2020,0.0,163,0.0,RB
Bruce Anderson,2020,0.0,0,0.0,RB
Ben Ellefson,2020,0.21,105,1.5,TE
Case Keenum,2020,0.92,67,1.84,QB
Cole Kmet,2020,3.0,42,48.0,TE
Garrett Celek,2020,0.0,0,0.0,TE
Clyde Edwards-Helaire,2020,12.15,18,158.0,RB
Giorgio Tavecchio,2020,0.0,0,0.0,K
Marcell Ateman,2020,0.0,0,0.0,WR
Simmie Cobbs Jr.,2020,0.0,0,0.0,WR
Bradley Sowell,2020,0.0,0,0.0,TE
Alex Collins,2020,6.87,117,20.6,RB
Jonathan Taylor,2020,15.65,7,234.8,RB
Keith Kirkwood,2020,1.8,206,1.8,WR
Marcus Kemp,2020,0.15,209,1.6,WR
Juwann Winfree,2020,0.0,214,0.0,WR
Cole Beasley,2020,11.1,21,166.5,WR
Derrick Coleman,2020,0.0,0,0.0,RB
Rod Streater,2020,0.0,0,0.0,WR
Allen Lazard,2020,8.13,75,81.3,WR
Derek Carrier,2020,0.12,97,1.9,TE
Isaiah Hodgins,2020,0.0,0,0.0,WR
A.J. Derby,2020,0.0,0,0.0,TE
Hunter Henry,2020,8.24,11,115.3,TE
Colby Parkinson,2020,0.43,95,2.6,TE
Jermaine Kearse,2020,0.0,0,0.0,WR
Jordan Franks,2020,0.0,0,0.0,TE
Courtland Sutton,2020,8.1,176,8.1,WR
Travaris Cadet,2020,0.0,0,0.0,RB
Jordan Akins,2020,5.02,28,65.2,TE
Tre'Quan Smith,2020,6.15,68,86.1,WR
Matthew Wright,2020,7.0,39,21.0,K
Jason Myers,2020,8.69,7,139.0,K
Brandon Bolden,2020,0.0,0,0.0,RB
Deonte Thompson,2020,0.0,0,0.0,WR
Tyrell Williams,2020,0.0,0,0.0,WR
Josh Bellamy,2020,0.0,0,0.0,WR
Bryce Love,2020,0.0,0,0.0,RB
J.J. Arcega-Whiteside,2020,2.31,162,18.5,WR
Trenton Irwin,2020,1.0,212,1.0,WR
John Hightower,2020,1.83,138,23.8,WR
Tyrone Swoopes,2020,0.0,0,0.0,TE
Geoff Swaim,2020,1.88,69,18.8,TE
Jamize Olawale,2020,0.0,0,0.0,RB
Justin Tucker,2020,8.88,6,142.0,K
Alex Tanney,2020,0.0,0,0.0,QB
Kirk Merritt,2020,0.0,214,0.0,WR
Josh Gordon,2020,0.0,0,0.0,WR
Jordan Scarlett,2020,0.0,0,0.0,RB
Jared Goff,2020,16.0,15,239.98,QB
Antonio Callaway,2020,0.6,194,3.0,WR
Shane Smith,2020,0.0,0,0.0,RB
